Team_abbr,Offense_eFG,Defense_eFG,Offense_TOV,Defense_TOV,Offense_ORB,Defense_DRB,Offense_FtFga,Defense_FtFga
ATL,.512,.542,15.2,13.7,23.7,76.6,.196,.236
BOS,.526,.505,11.5,13.9,22.6,77.8,.178,.214
BRK,.522,.523,12.6,11.4,25.1,76.5,.214,.206
CHO,.521,.528,10.6,12.7,21.3,76.8,.199,.187
CHI,.498,.521,13.5,12.3,17.1,75.8,.178,.187
CLE,.494,.549,11.7,10.9,25.3,76.7,.184,.175
DAL,.524,.527,13.3,12.7,23.9,77.5,.240,.186
DEN,.524,.513,12.3,12.4,27.3,77.9,.187,.192
DET,.495,.517,12.7,12.7,25.7,79.5,.200,.229
GSW,.548,.513,12.7,11.3,22.8,78.2,.203,.201
HOU,.533,.529,12.5,12.6,25.4,75.3,.215,.223
IND,.533,.501,13.2,14.2,22.1,77.7,.178,.179
LAC,.529,.508,12.4,10.2,22.2,75.6,.270,.218
LAL,.539,.507,13.2,12.1,21.7,76.4,.180,.182
MEM,.515,.511,12.3,14.6,17.9,76.7,.208,.228
MIA,.504,.503,12.5,12.4,26.1,77.2,.188,.218
MIL,.549,.501,12.4,11.4,21.6,80.9,.191,.165
MIN,.507,.527,11.3,13.1,24.3,73.8,.213,.182
NOP,.529,.531,12.4,11.5,25.7,76.9,.211,.204
NYK,.489,.545,11.8,12.0,23.9,76.0,.201,.205
OKC,.512,.508,12.5,15.1,27.7,77.9,.187,.192
ORL,.507,.523,12.2,12.4,20.3,77.6,.161,.196
PHI,.532,.499,13.1,10.7,23.3,79.0,.239,.210
PHO,.515,.539,14.1,13.3,20.5,74.5,.172,.223
POR,.513,.524,12.4,10.8,25.2,78.1,.207,.181
SAC,.534,.537,11.6,13.7,22.0,74.7,.178,.209
SAS,.530,.526,11.0,11.4,22.0,78.3,.200,.171
TOR,.539,.507,12.0,12.7,23.4,75.8,.187,.182
UTA,.529,.519,14.0,13.5,22.1,79.6,.214,.192
WAS,.525,.542,12.2,13.8,19.7,72.3,.211,.221
